id	review
Female Trouble 	Divine really mellowed out in terms of her later characters. From a murderous debauchee in Pink Flamingos and Female Trouble to a mild mannered housewife in Polyester and Hairspray. art cinema at it's best Masterpiece. Makes the later John Waters movies look like the Hollywood junk they are. We lost a national treasure. SERIOUSLY. Fucked up, but worth the watch if nothing else is on
Framed 	se ve prometedora :) uff que ganitas de verla! Uuuuuooooooooooh, hype hype hype pedazo currada, no duermo hasta que la vea!!!
French Connection II 	I love the commentators voice methinks this sequel is pretty darn good Fuck sequel snobs. This one was good. Good flick. Not as good as the first but still really good. Love the ending. After watching, rather, listening to the director's comments (J Frankenheimer I believe) I learned that there are actually two deleted scenes which are curiously NOT available on the boxset DVD. He said he was not able to recover the Traffic jam scene and the scene with Reine Prat, the volleyball girl who we see with him exiting the Hotel and parting ways. Apparently, this "hot" scene (one can only suspect) was in the preview version showed to audiences before the official release. I would like to know if anyone knows about this or (really pushing my luck here) has seen that part.My guess is it was deleted because it did not add anything important to the movie after the screening, but it must have meant something if the director took the time to film it... Did they really need to say "French Connection" TEN TIMES in a three minute trailer. He's Popeye the sailer man! synch problem there?? No, he was PD in a 1986 TV film called "Popeye Doyle". The 1981 Sylvester Stallone film "Nighthawks" was originally going to be French Connection 3 until Gene Hackman refused to play Doyle one more time. apart from a certain scene in the girl with the dragon tattoo, what they did to popeye in the second film is the hardest sequence i've ever had to watch in a film, because i fucking love popeye doyle more than any other male character in a film (just like lisbeth more than any other female character). but i wouldn't say that diluted the quality of the film. in fact, i think that's the film's ace card because EVERY movie, especially sequels, have to test the main character to the limit.  i would disagree there, both films displayed fantastic acting @fdsffdd Other way round. FC2's got the better performances. Namely Gene Hackman's. He carries the show.  One of the best films ever made. This has the fastest ending of any film boom - the credits roll. @smizzman I/m not so sure about your other examples. Maybe, but this one certainly is a notch better than the first. @knownpleasures you're insane.  @spideymayne ..Yeah I got a copy of Vengeance a few weeks back..I loved "Exiled" and "The Mission" also, Johnny To has taken the place of John Woo as the badass in hong kong IMO @smizzman thanks for the great comment i loved part 2 equally as part 1 @spideymayne   ..Part 1 is a classic too,  but Part II really grew on me over the years and being I am such a big fan of revenge films, part II became one of my favorite films ever, especially the scenes when popeye gets all of the junk out of his system and goes out looking for some payback, gets me fired up everytime :)
Friday Foster 	friday foster, with pam greir is so pretty an  beautiful  i enjoyed this movie Was that Carl Weathers with the knife? Eartha Kitt: "" A Black Goddess, come to Earth ""   That IS Eartha Kitt, the sexy feline villain from the old Batman TV show; meowwww No she's not cute,she's beyond that oh* she's cute**
Funny Lady 	My favorite movie :) Thank you. This doesn't look very good... Unfortunately Going to see it tomorrow!  I'm so excited!! I know the ratings weren't that good but I don't care, it's Barbra! very romantic , i like Barbra Streisand  Funny, you said ?  I needed to laugh today ... well ... ;))))))) God, this is too much ! Loved this really ! First you laugh,because she is such great comedian when  she start to sing, she puts you in other space,she catches your heart And you feel peace Put a black bee-hive wig on her, and we have amy winehouse! Face is so similar! Both beautiful! I swear FUNNY GIRL is waaaaaaaaaaaaaaaaaaaaaaaaay better than this movie....... like like like!! jajaja! very funny. Babs is amazing!!!! I want to see this! were can i watch it!
The Giant Spider Invasion 	I grew up where it was made. Who else has seen the MST3K episode on this movie? in germany at 27.09. on Blu-ray ... Hurra ! Hurra ! Huraa ! :-D EDF EDF EDF The giant pipe-cleaner invasion Spiders like sneaking up on hot chicks in their underwear! Guess I'm safe. SKIPPER!!!! This looks great. Shame it isn't in theaters anymore. Must. Watch. Immediately! SP00KY There has never been a film like this before. Thank God. lol!! WV Beetles with fake spider attachments on them. lol!! Eight Legged Freaks was a much better film and it had Kari Wuhrer and Scarlett Johansson in it. Thumbs up if you're here because of ICHI's track "Giant Spider Invasion" This looks weird. Before there were Snakes On A Plane, there was... The giant spider actually looks realistic. Wow, this was the first "horror" movie I was allowed to watch when I was a kid. I remember it so well :) 'There was never a film like this before'... and luckily there hasn't been another one like it since! This trailer is amazing, apart from the spider in the drawer. I must see this. makes a good christmas gift for sure. Nice going MST3K!
Give 'em Hell, Harry! 	I remember reading how when Harry Truman signed the legislation for the USA to recognize Israel, Eddie Jacobson said "It was for this moment God put you in your mother's womb". Who was that "little congressman from California" Truman was talking about? Ronald Reagan? I'm Irish (48 years old).  Although I knew the main events of Truman's presidency, I had only a vague idea of Truman's personality/character.  I watched the PBS American Experience documentary on Truman last year (2016) and found Truman to be a likeable and usually admirable man.  I've been tracking down more videos about him and am reading McCullough's biography at present.  Thank you for posting this performance. IF WE HAD MORE PEOPLE LIKE TRUMAN THIS COUNTRY OF OURS WOULDN'T BE SO FUCK UP I think this guy deserves an academy award i cryed my eyes out I bought this on VHS many years ago but mine wasn't nearly as clean and clear.  I dubbed it to a DVD but it's just not the same. i like how you included the fbi warning of copyright law.  How funny.  James comey will be at your door soon.  Just pay him for the pizza. This recorded performance was shown in an L.A. theatre to qualify it for the Oscars and James Whitmore was nominated for best actor for his performance. Truly amazing performance! Magnificent. A True Man for his time and for the ages.Strong and Honest  and Straight like a good shot of Bourbon. a superb performance :) What's with the snuffling? I really wish they would do this more often.  We loose talented stage actors all the time and their work is lost forever.I wish we had some sort of archive to lock theses fine performances away for posterity. There was another tv version of Harry Truman. But it wasn't a dramatic version with audiences laughing and clapping and James Whitmore yelling. It was a documentary of him of an actor playing Truman and telling him about his life. I saw it on Channrl 13 in the1970s as a kid. Does anybody no what I'm talking about. Outstanding. This is fantastic!!!! Steven Hewitt, you took the words right out of my mouth!
Great Expectations 	I remember reading the book it was sad but humble at the end. Miss Havisham is  old and miserable. Ok yeah sure, just give away the central plot twist of the movie IN THE DAMN TRAILER bellatrix wyd Voldemort Bellatrix and Hagrid - British actors are like Tasmanians Wait that kissing thing wasn't in the book I'm reading this boom in my school OMG Hated this book in my English class but this movie looks good XD I need a resume of this stori pliz!!!! I still remember the word "he's a common laboring boy" and "you may break his heart" hagrid the dark lord ans bellatrix !!!! I just clicked bc I saw Bellatrix I read the manga version Good thing this trailer doesn't give away most of the story... I've been reading great expectations and Magwitch is my favourite No version of great expectations will ever beat the bbc to series it's as so well done I am not 14 nor drunk to care understand wtf I just watched. Ralph Fienes always shows up in the most random places whattttt
Grey Gardens 	totally forgot about this movie Great work! love Drew in a way this is so relatable. sigh mom.... Big Edie wasn't worth to be a mum once she enslave her for longer than 30 years. Law, policy and even rules are both causing little edie to be like this. She made her wasted and made her hypocrite all the time. Here because I watched a documentary about Alexander Mcqueen on M2M, which referenced the documentary Grey Gardens which further linked to this movie Here because of Documentary Now lol. Does anyone know the name of the song that's  playing in the video??? After seeing clips of her playing Little Edie, I gotta say I now respect her. She did well. wonderful. I love Jessica Lange so much ambas actrices me gustan jessica la mejor loved this movie on so many levels! Blndsundol4mg trish YouTuber life story. So excited to see this
The Hatfields 	and the McCoys Hatfields and McCoys part of White History Month My great great great great grand uncle was the great great great great grand cousin of the great great great great grand son of Devil Anse. I can feel the blood of the Devil on my veins. Fuck off. Good series. While watching for the first time, all I could think about was the ending of "Pain and Gain" and how the private investigator described the perps of that story and how these two families were guilty of the same thing: "The only thing they were not found guilty of, is what they were most guilty of: Being dumb, stupid f**ks" It's a shame Bill Paxton died, he was a great actor. Bill Paxton... in Memorandum Excelent!!! I'll go with W.VA side. anyone know what the song is here in the trailer? RIP Bill Paxton Living in the town Pikeville myself, it amazes me that these grounds that I walk on, everyday, those mountains I take for granted, are apart of something truly tragic. The hollars I live in have untold stories about this feud that we will never know. It just astounds me that such history is in this soil. boa When this was filmed in your country(Romania)...one more reason to love it. Can anyone tell me if the part where Anse Hatfield really deserted the war? if he did then that explains alot. He was no honorable man as his family members which if you see closely they were the ones to start everything from stealing the pigs, unjustly winning the case because the judge of the town was family, the teens romance, the unjustly killing of the McCoy's 3boys instead of handling it thru the law as Ellison Last words were, the killing of the McCoy's other children, leaving mrs. mccoy disabled, burning the house ect. damn.  4 and a half years now since the show aired.  seems like last summer.. this movie was filmed in Romania? aqui tem gente pior muito pior Prepare to Die Jim Vance started the shit
Hearts of the West 	RIPD send me here. One of my all time favorites.
Hester Street 	yo, BT students what up its sykes lol the guy who plays the lawyer is a total comedy! When was this film made? SHALOM, and that's for this gem................... Thank you so much for downloading this gem.!  have been wishing to see it once more for a very long time; Excellent from beginning to end. The oscar should have gone to Carol Kane. I loved it! It was highly recommended by many  , but  I couldn't find available anywhere. Thanks so much for uploading. 1:14:35 - 1:17:32   The marriage proposal scene is the one of the most beautiful in film.  Re-wets my contact lenses every time. boring ... Saw this in the Hillel at Brooklyn College in the 70s. The sound  was  a little off then too. There are scenes where you  can see the boom mike . Carol Kane should have won something for this. She was  even in the Last Detail. Wish they would show it on PBS Does anyone remember a movie with Kate Burton about Ellis Island around 1980-1986? It is about immigrants...It is not the series with Faye Dunaway? Please help!!! I am so taken with this film- it's moving, thought provoking, charming all in one film. The performances and the ensemble of actors are so exceptional.   Thanks so much for sharing it. "A regular uptown lady!"  Doris Roberts you gave the world much joy.  RIP. Their Yiddish is very good.  Their "Yiddishe accent" is a bit strained for a number of actors.  As someone who is used to hearing these New York Yiddishe accents, a number of these actors are really forcing their attempt to speak with a "Yiddish accent."  It's almost distracting and stereotypical New York.  And most of these actors are from the 5 boroughs, which is interesting. Great movie - thanks for posting.  I thought of this movie when I heard Doris Roberts had died at 90.  She is great in this.  Since it came out in 1975 Roberts mush have been pushing 50 when it was made.I love these "understated" flicks.  So-called action movies are so mindless.  This had no hero barely hanging on tho a speeding train or whatever, just great characters and a real story. kane was nominated for an award on this - louise fletcher got it though for nurse ratched role Great! Excellent film, thank you for sharing
Hey, I'm Alive 	algo ironico es que en el juego le crece el cabello o.O
The Hiding Place 	good holocaust movie... Going to visit Harleem on MAy 2016 I am currently reading this book at school and I think it is a really emotional story she died when I was born....great story and really touched....... seems like a great movie read book so sad and what was amazing was that she was spreading the word of God. It's so weird how trailers like this straight up TELL you about the movie, as oppose to the showing style we see today. *SPOILER ALERT! SPOILER ALERT! SPOILER ALERT!*yes, she does, but her sister dies. One amazing thing was that she and a few other women had messed up papers, so they weren't supposed to leave but did anyway. A week later, the camp they left was sent to an extermination camp, so they got out just in time :)   Is it as good?  You call a politician a Nazi, then tuck tail and run when the French threaten to riot. If she really was a Nazi why did you back down? Or when did the Boy Scouts try to assassinate a 15 yr old girl? When did the Scouts ever behead a 10 yr old boy? Yet you have the hutzpah to compare them to the Taliban. And Scouts are so much classier than you could ever hope to be that they ignored you. Something you can't stand :D Did you ever read the book or see the movie Mija? These Christians, the kind of peopl you hate, saving Jews. And they paid for it with their freedom and their lives. But somehow that's not good enough for you. Your country brought this horror show to an end. Yet you deride & desert your country in her time of need, while sleeping with a man who thinks Hitler was a great man and the murders of 6,000,000 Jews was a good thing.  What a truthful and powerful comment and viewpoint. Thank you for caring to notice. I lost 90% of my family in those camps. I will always remember what Corrie said: "No place is so deep, that He is not deeper still." My Uncle Chaim had Mengele's henchmen ram a glass rod up his penis and smash it with a hammer for the sake of white supremacy and ethnic cleansing, but mostly, for the sake of pure hatred. It will all end soon for God will "bring to ruin those ruining the earth." - Revelation 11:18 You're awfully careless with the terms Nazi and 666, Mija. You use them as if they weren't one in the same along with Islam.... Yeah ...white people are not evil The love of many has waxed cold. How could anyone look at Anne Frank's picture and say to themselves they could kill that little girl. It's horrible to think that. You can't, I can't. I'm saddened.  This movie is very different from the book :( I saw this movie years ago - read the book and The Return to The Hiding Place. It literally changed my life. I have passed this on through the years and live by Bestsie's saying, "There's no pit so deep, that He is not deeper still." Must have been longer than 12 years, seeing when she died. That's not possible.   She died in 1983.    Do a search on Corrie Ten Boom.
The Hindenburg 	80 years ago today... What a mind-blowing ending. I just got the movie on blu-ray at Wal-Mart, and never in my life did I expect such a shocker of an ending from a '76 picture. From 1:29 to 1:34 is when you can see footage in color that ended up B/W in the film. Some of the the black&white scenes are real historical footage they added in this movie ( they did that alot in war movies back then ) . The ending in black&white gives a deeper emotion of sadness imo . Anyway this movie is excellent because there were great actors/actresses . They dared to remake this movie but the CGI fails + they put again a love story and the colors as the acting are way too clean . If anyone is interested in finding a behind the scenes featurette for this film, it is likely to be in the UCLA archives. I have proof here: https://www.cinema.ucla.edu/sites/default/files/Steinhart08_ARSC_Award.pdf Thank you for posting this ! I never got to see the trailer :) I wished I saw it in 70 mm it would have been spectacular ! The UK (English) copy of the DVD is very clear as Anchor Bay Entertainment ordered a new print be struck for their release ! Released on Christmas Day of 1975 and Directed by Robert Wise THE HINDENBURG was Universal's BIG Christmas attraction of 1975 that featured George C. Scott and Anne Bancroft in the title roles. They advertised the cost of the movie!!!!!  they did it's in the Laserdisc version. The DVD and VHS versions converted them to b/w. One gasbag meets another.  I can confirm the quality of the audio track on the Laserdisc release. It actually surprised me. never saw the DVD release though.Hmm. My Laserdisc player still works. Maybe I should watch it again. This film had a brilliant 4-track mag stereo soundtrack that is preserved pretty well on the LaserDisc.  The DVD doesn't sound as good.  The dialog was originally panned to follow the actors but remixed for home video. I hope they fix that for a Blu-ray release.  It was planned to be released in Sensurround but Midway and Rollercoaster were booked in all the Sensurround theaters, so it was standard 35mm and 70mm stereo surround. I only wish they would show the disaster ending in color instead of b/w.  I love these classic 1970s disaster movie trailers. This is done so well just like the "The Towering Inferno"  The sound effects, the soundtrack placed so well in sinc with the film footage. It really gets you to the core!  Well done! :)  I have a DVD of this movie but unlike most of my other DVD's it has no extras like this trailer, & I'm disappointed this trailer is not there. Am not sure.  Have caught some of the Al Whitlock docs but haven't seen it shown up there. Was just remarking on the earlier scenes in color, Vogel being blown back in the tail fin after the explosion-Pruss in the control car-passengers thrown off feet in the lounge - those scenes ended up being black & white in final print. Thank you for posting this elusive trailer!  Now I don't have to dig out my projector to view the Super 8 sound release of this.  Proof is here that they filmed the destruction scenes in color before draining out color to splice with newsreel footage. Next if someone can post that making-of featurette I've heard about...
Hong quan xiao zi 	This is the best, made me cry @LRGKING1991 Yeah, but it costs a lot of money to run a website like Youtube so it is eitheradvertisements or no Youtube at all.  nice  :D
The 'Human' Factor 	Vigilante movies like this one are the most fun. They don't make 'em like this anymore... Can anybody post this film part by part? Thanks
Hustle 	love this show love this show Fave show Adrian Lester looks like Barack Obama. Can you tell me more about it? Are there some backstage shots.. Techniques used? Etc... I miss hustle please bring it back bbc How do they do the freeze effect Watched an old episode repeated on Sony TV on Sky + I recorded and recalled this - nice to see it again after all these years. I still wish they'd used the music in this trailer for the shows theme tune actually - anyone know what it is and is it on youtube? Really cool trailer and agree its stood the test of time. Been trying to work out a way to film a similar sequence for ages, but really having some difficulty! best promo ever.  lol tht cork! Nice promo. I like the time slice.could you please breakdown this shot for us.I'd love to know how to produce a similar effect.I know tis been used in the last season of CSI and er.. Dexter as well.
Hustling 	I like the retro style of the ladies in this movie. what is the name of the song playing in the backround? estos trailers de merda te cuentan toda la pelicula menudo salame el que los hace great trailer for me phuck yeah That was a very crap trailer Donald Trump remind me of this movie. The only reason I watched this movie is because Led Zeppelin's "Good Times Bad Times" was in this trailer... 10 nominated, 0 oscar???!!! Cmon... One of the unlucky biggest looser in the Academy history! (Also The shawshank redemption) favorite actress Jennifer Lawrence LED ZEPPELIN <3 Boooring movie!!! never will be as good as wolf of wall street The Art Of Survival is A Story That Never Ends Some seriously talented actors in this,i thoroughly enjoyed it,9/10 for me. such a sexy trailer!! how ya doin u know wat i mean I don't see it! Good times bad times Too long I got bored... tbh I'm more of a disney-musical, rom-com gal, but I have to say, this movie was great. The characters had a lot of depth, and the actors were able to bring that out. Definitely recommend.
I Will Fight No More Forever 	Contrast a photo of the real Chief Joseph with this actor, and imagine the real Chief Joseph speaking these words, and then you know that the real moment was 100 times more moving and more tragic than this recreation.
In This House of Brede 	Yes, please upload this great movie. If not possible, do you know where to get it on VHS? Fabulous - although they took some ferocious liberties with the original book. Diana Riggs Great from Head to Toe meet her in new York when she did medea Wow wish someone with the ability would upload this wonderful movie...I've been looking for it for ages. Please upload it...it's a fabulous film!
India Song 	What a surprise to find this upload! Thank you! The film is infuriatingly baffling, mysterious, haunting, and hypnotic. Has to be seen 50 times. kiitos How sweet now remembering how bittersweet was at first sight...  Do you have the rest of India Song?  Could you possibly upload it?
Janis 	Many thanks! She was a real diva When is this out on dvd anyone know ? Amazing documentary... love janis Pls link! yay cat power I can't wait to see this looks good I need link that clip is that? 0:42 must watch this movie. Love Janis Joplin so badly!:'( <3 I didn't know this woman but I cried,so emotional..I can relate to her ...I was bullied as a child in school even nowadays..and that makes many people stronger in a way and more sensitive to other peoples feelings This was actually a pretty tame documentary. It glossed over a lot of things, like Janis's sexual relationships with other women and  her final fling with the atrocious Seth Morgan. I found it disappointing. I need link waw This made me cry. I couldn't decide before whether or not I liked her music but after seeing this documentary she is one of my favourite artists. Beautiful soul The title of this documentary is wrong!  It should be "Little Girl Blue"...How could someone make this mistake?!! Beautiful, cant wait to see the full movie! Janis is the queen psychedelic rock and She will always have 'piece of my heart' The only good film that's come out this year What a voice. VIVA ROCK AND ROLL
Jaws 	Jaws is with a killer Shark and blood I wonder if James Earl Jones did the voice over. He Has Survived Million Years RevolutionA Mindless Eatting Machine.It Will Attack And Our Entrything. It If This God Creative The Devil And Gave Him JAWS. Thanks to this  movie, I am Thalassophobia. im confused is the shark named megalodon or great white They put electronic hairs. And you know where that goes. On your ass. You are better off eating black widows than execepting. Service from utah valley medical regional center. They implant. Electronic. Biological. Voices. So you can keep going. Always lick your ears with your fingers. Shove them the fuck in there. And fuck utah valley medical regional center . Cause they want body parts. I believe I believe I believe I'm a nuclear baby and jaws is too. I believe. I believe. Electronic hairs. And you know where that goes. On your ass. Every body is addicted to air. conditioning. Think about it. Do you sit at home. Or just when the air conditioning is on. Ground zero new mexico. Los animals. Any body that takes anybodies. Is a scientologist. It's true. Reals. Slaer. When I was sicks. Years old. A wise boy once asked me. Why do your bottom. Teeth grow like that. I said. That's just what they do. I'm a nuclear baby 2. Too : I believe. I believe. I believe. Did jesuz-e get electrecuted. on an electric. Cross. Or was it jesus. My All Time Favorite Movie at #1 I Know The Quotes From Every Scene and This Film Has Made Me Have Mixed Feelings About The Beach in The Summer Time LOL! triazamite power what are those? if you see it. it's there. if you feel it it's there. if you smell it it's there. if you hear it it's there. and if you taste it's there. that's just how it is.
Johnny Firecloud 	I have to watch "They bought themselves an all-American, one-man Indian massacre!" loll man is this comedy loll Indians no longer bit the dust...they just ate dirt Kind of hard to tell, octo... For a moment, I thought this clip *was* from Bo za. LOL Was that David Canary from Bo za? Would this be a step up or step down in his career? Dem Indians sho look white. We need a modern movie that stars native americans as the heroes and main characters of a positive film. A film that makes it past the underground to the mainstream.
The Kansas City Massacre 	Western Allies would won WW 2 earlier if these gangster fought NAZI back there..damn their car ram better than Sherman.. Both scenes incredibly inaccurate based on known history. Seems like a Bollywood movie with white guys This was a perfectly awful movie. Neither Melvin Purvis nor Pretty Boy Floyd had anything to do with the Kansas City Massacre (although the FBI still insists on that delusion). Also, the FBI agents at the KCM didn't have guns, because they weren't yet authorized to carry them. J. Edgar Hoover used the KCM as an excuse to petition Congress to allow his agents to carry firearms. It was one of the few smart things he did in his 40 years of sadistic incompetence as head of the FBI. Some good shots of B.A.R.s in this scene. You usually don't see that weapon in too many gangster flicks...shame. :( I'm currently barred by YouTube from uploading videos longer than 15 minutes, which is a real pain.  I have a DVD of the movie (which is very rare) and know of no online versions, sorry.  Interesting that your uncle was in it.  He must've had a ball as it looks like a movie where there was a lot of fun. If you have the full movie then upload the rest of it please or send me a link so I can watch it for myself !!My uncle is on this movie and his name is Lester Maddox Yes, it's a pretty rare movie now.  I'm not sure how factually correct it is (a lot of it seems slightly tongue in cheek, given that this was based on a real story) but it's a fun gangster flick for all that. 37 years ago I watched this movie in Monterrey, Mexico obviously in Spanish, vaguely I remember the movie, I remember very well the start when Frank is released by Pretty Boy Floyd, I really would like to watch it again if I could or get it through DVD, hopefully someday I can watch it again and remember this part of my childhood.
Katherine 	good job ... but i dont understand Unforgettable Was Definitely Katherine Heigls Movie, Forget Rosario Dawson, Go Katherine!!!!! cine e de la Ilie Vlogs? Ilie? ummm y is the trailer so long and showing all of the best highlights of the movie? bummer! 4.6 at 2:00 you can tell Heigl hired that guy to attacked her so she can drive her away from her ex-husband Rosario looks pretty hot here too. Got to see it yay, catfight.  There'd better be a mud wrestling pit in the movie or it's really gonna suck. George Stults plays the husband? Lol. Was there a budget cut, for this part? *Yawn* Next! Never divorce a woman with borderline personality disorder she reminds me of Ivanka Trump lol very similar both outside and in! cray cray hoes.... just like that gone girl lol why go see the movie when u basically get the gist of it here bullshit
The Killer Elite 	WHO WATCHING IT 2017?Jason statham is the best actor ever i saw please upload F&F 7 In case anyone is wondering about the vintage silver car Statham is driving in one part of the trailer: 1971 Buick GSX-440 V-8 with Dark Billet Silver as the color. this guy don't scare easily lol 1:52 what would daisy ridley do?  she would cry im british and we cant sleep together and she would sign me to star wars so i can rip into the governments war on marriage and love instead of going after nuclear weapons which are already in the hands of terrorists, exclusively, obviously good shooter or you enjoy killing animals?  because i checked publix is the devil prohibiting jews from marrying dont i have a shit load of these at my disposal? Jason statham is JASON STATHAM in .. Jason Statham I think this is Statham's best movie. LOLZ 0:52 "His condom scaries me" :D:DD:D:D ok how many badasses are in this movie? 1,2,,3 :O Based on a true story dafuq ? so true man. he was pretty baller in Ronin too Ah ok. I could always count on the bank robbery getaway scene in 'Heat' as one of the most remarkable moments of De Niro(with an M4 lol).  naw man, i got what you were going for! i love puns. flawless is one of his earlier movies Awww, dude! You totally missed what I did there!  it looks 'Flawless'... I can feel the 'Heat' already... De Niro shooting an M4.. i gotta see this
The Kingfisher Caper 	the trailer doesn't do it justice...this movie will make you cry. best romantic comedy I've ever seen Its mental Wow this trailer is the exact opposite of the movie's tone! One of the top 5 all time movies. such a great cast....whatever happened to Mercedes Ruehl and Amanda Plummer? One of the best movies! I don't think they spent enough time studying what homeless life was/is really like. To walk through those doors hand in hand, side by side, is the dream. I didn't even know I could dream that big. Until there was you. Until there was you. Over all terrible movie... with some interesting parts.  RIP Robin. perfect movie, the best ever!! The trailer doesn't do this justice. Amazingly good movie. Damn! Forgot all about this gem, think I'll get a copy from Amazon. Incredible movie.
The Land That Time Forgot 	Script by Michael Moorcock! saw this at the drive-in when I was six. Great childhood memories. When your special effects aren't even as good as Land Of The Lost (which came out about the same time), you SUCK. Wasn't there a clip of this in Wargames? Grindhouse this will be on bluray in a few days. cant wait. Lost world, dinosaurs, U-boat...life was so simple and beautiful back then, I miss my youth years~ Why they add cheep puppeteer dinosaurs why not hired Ray Harryhousan to do stop motion Dinosaurs that will be cool. It's hard to believe it is 40 years since this movie was made (Filming started early in 1974, released in 1975). I had been a fan of Doug McClure only 12 years at the time, having first seen him in "Checkmate" and then "The Virginian". 3 years ago I was part of a campaign to have him inducted posthumously into the Hall of Great Western Performers and I attended his induction last April and met his daughters, widow and grand daughter. I remember going to see this film, I must have been about twelve, I was a dinosaur nut, anything with dinosaurs in, I remember it being previewed on the tea time Film magazine show, Clapperboard, with Chris Kelly, it was billed as a great film with stunning special effects, a good twenty years before Jurassic Park, looking back at it now, you realise how god awful the effects were, and the Dinosaurs wouldn't scare my dog, but it was fun, I miss the GOOD OLD DAYS!!! wha t aload o fcrap! 38 yrs. later and this version still looks better than the remake with C. Thomas Howell. "Mr. Tyler.... Ahhhhhhhhhh" this movie was kinda better than the people that time forgot (1977). My favorite thing about this movie is, if not for cover art, you might have just thought this was war movie unitl, like, 45 minutes into the film. I just saw this movie on my new favorite channel Turner Classic Movies. And I can say that I'm glad I watched it! Great movie. I spent my whole life looking for this movie..omg..mission completed! The movie that time forgot.
The Last Day 	This is good movie oh no if the owners of animals die then the pets will die unless they have a catflap or whatether that is called Lookes like Metro 2033 I didnt whatched the movie,is it a zombie movie or? love this movie...... If you're debating whether or not to watch this film, just go ahead and watch it. I truly enjoyed it and recommend it. The last day.. How can I watch day?  Awesome movie to watch, recommend to everyone! Just finished watching this on Nutflex, I've seen a lot worse, enjoyed it. Is this movie any good? Highly recommended! Very good movie Spanish Zumbies? all right ..That does it !!!  I am going home! Great film! has a last of us feel to it.. great spanish film, hope there are more to come. this movie is 5 times better then i am LEGEND... im currently watching it on tv...most holywood films are shit anyways... for the last 10 years It's a copy of "I'm Legend" Why did they speak in Spanish? so its like the last of us looks like a good apocalypse movie
The Last Survivors 	I rented this and watched it last night and I loved it!! Great acting and great cinematography. Great casts. So, today I went to best  buy and bought it. :) I'm happy to add this to my collection. LOL giving us clues to whats really going to happen soon!!! I liked it...mix between mad max and hunger games so excited for Haley!!!!!i hope she sees this Bad ass! Can't wait to see it! Haley lu Richardson is my girl!! :)
